Ara; Joáo Donato e Caetano Veloso; 0-Ara-Joáo Donato e Caetano Veloso.pdf
O morro nao tem vez; ; 270-O morro nao tem vez-- Tom Jobim e Vinicius de Moraes.pdf
Ligia; Tom Jobim; 271-Ligia-Tom Jobim.pdf
Luiza; Tom Jobim; 273-Luiza-Tom Jobim.pdf
Maria do Maranhao vi; Carlos Lyra e Nelson Lins e Barros; 275-Maria do Maranhao vi-Carlos Lyra e Nelson Lins e Barros.pdf
Maxima culpa i; Sergio Ricardo A; 277-Maxima culpa i-Sergio Ricardo A.pdf
Menina; Carlos Lyra; 279-Menina-Carlos Lyra.pdf
Nos; Johnny Alf; 281-Nos-Johnny Alf.pdf
O amor é chama; Marcos Valle e Paulo Sergio Valle; 283-O amor é chama-Marcos Valle e Paulo Sergio Valle.pdf
O amor que acabou; Chico Feitosa e Lula Freire; 285-O amor que acabou-Chico Feitosa e Lula Freire.pdf
O pato; Neuza Teixeira e Jaime Silva; 287-O pato-Neuza Teixeira e Jaime Silva.pdf
Olhou pra mim; ‘Ed Lincolne Silvio Cesar; 289-Olhou pra mim-‘Ed Lincolne Silvio Cesar.pdf
Olé, ola; Chico Buarque; 291-Olé, ola-Chico Buarque.pdf
Passa por mim ; Marcos Valle e Paulo Sergio Valle Ke; 293-Passa por mim -Marcos Valle e Paulo Sergio Valle Ke.pdf
Pouca duracao; PacFico Mascarenhas; 294-Pouca duracao-PacFico Mascarenhas.pdf
Pelas ruas do Recife; Marcos Valle, Novelli e Paulo Sergio Valle; 295-Pelas ruas do Recife-Marcos Valle, Novelli e Paulo Sergio Valle.pdf
Pernas; Sergio Ricardo; 297-Pernas-Sergio Ricardo.pdf
Por um amor maior; Francis Hime e Ruy Guerra; 299-Por um amor maior-Francis Hime e Ruy Guerra.pdf
Praias desertas; Tom Jobim e Vinicius de Moraes; 301-Praias desertas-Tom Jobim e Vinicius de Moraes.pdf
Primavera é; Carlos Lyra e Vinicius de Moraes; 303-Primavera é-Carlos Lyra e Vinicius de Moraes.pdf
Reza;  Edu Loboe Ruy Guerra; 305-Reza- Edu Loboe Ruy Guerra.pdf
Rio; Roberto Menescal e Ronaldo Boscoli; 307-Rio-Roberto Menescal e Ronaldo Boscoli.pdf
Samba de verao; Marcos Valle e Paulo Sergio Valle; 309-Samba de verao-Marcos Valle e Paulo Sergio Valle.pdf
7So mesmo por amor; Carlos Lyra; 311-7So mesmo por amor-Carlos Lyra.pdf
Também quem mandou; Carlos Lyrae Vinicius de Moraes; 313-Também quem mandou-Carlos Lyrae Vinicius de Moraes.pdf
Tema do boneco de palha; Vera Brazil e Silvan Castelo Neto; 315-Tema do boneco de palha-Vera Brazil e Silvan Castelo Neto.pdf
Tem do de mim; Carlos Lyra See 7; 317-Tem do de mim-Carlos Lyra See 7.pdf
Tereza da praia; Tom Jobim e Billy Blanco; 319-Tereza da praia-Tom Jobim e Billy Blanco.pdf
3 eee Seyi; Tom Jobim; 321-3 eee Seyi-Tom Jobim.pdf
eVivo sonhando;  Tom Jobim; 322-eVivo sonhando- Tom Jobim.pdf
Upa neguinho NL; ‘Edu Lobo e G Guarnieri; 323-Upa neguinho NL-‘Edu Lobo e G Guarnieri.pdf
MISSING_TITLE_0; MISSING_ARTIST_0; 324-MISSING_TITLE_0-MISSING_ARTIST_0.pdf
Anoiteceu; Francis Hime e Vinicius de Moraes; 325-Anoiteceu-Francis Hime e Vinicius de Moraes.pdf
A meia; luz; 328-A meia-luz-Francis Hime e Ruy Guerra.pdf
A paz; Joao Donato e Gilberto Gil; 330-A paz-Joao Donato e Gilberto Gil.pdf
Atarde; Francis Hime e OlVia Hime,; 332-Atarde-Francis Hime e OlVia Hime,.pdf
Ainda mais lindo; Marcos Valle e Paulo Sergio Valle; 334-Ainda mais lindo-Marcos Valle e Paulo Sergio Valle.pdf
Alvorada; Mauricio Einhorn, Arnaldo Costa e Lula Freire; 336-Alvorada-Mauricio Einhorn, Arnaldo Costa e Lula Freire.pdf
Amazonas; Joao Donatoe Lysias Enio; 338-Amazonas-Joao Donatoe Lysias Enio.pdf
Anos dourados; Tom Jobim e Chico Buarque; 340-Anos dourados-Tom Jobim e Chico Buarque.pdf
Bananeira; Gilberto Gil e Joao Donato; 342-Bananeira-Gilberto Gil e Joao Donato.pdf
Batida diferente; Mauricio Einhorn e Durval Ferreira; 344-Batida diferente-Mauricio Einhorn e Durval Ferreira.pdf
Bolinha de sabao; Orlann Divo e Adilson Azevedo; 346-Bolinha de sabao-Orlann Divo e Adilson Azevedo.pdf
°Brisa do mar; Joao Donato e Abel Silva; 348-°Brisa do mar-Joao Donato e Abel Silva.pdf
Beijo partido; Toninho Horta; 350-Beijo partido-Toninho Horta.pdf
Eh Menina; Joao Donato e Gutemberg Guarabira; 353-Eh Menina-Joao Donato e Gutemberg Guarabira.pdf
Candeias; Edu Lobo; 354-Candeias-Edu Lobo.pdf
Emorio; Joao Donato e Gilberto Gil; 357-Emorio-Joao Donato e Gilberto Gil.pdf
Cadé vocé; Joao Donato e Chico Buarque; 358-Cadé vocé-Joao Donato e Chico Buarque.pdf
Cara bonita; Carlos Lyra; 360-Cara bonita-Carlos Lyra.pdf
Cartao de visita; Carlos Lyra e Vinicius de Moraes; 362-Cartao de visita-Carlos Lyra e Vinicius de Moraes.pdf
Chuva; Durval Ferreira e Pedro Camargo,; 364-Chuva-Durval Ferreira e Pedro Camargo,.pdf
Coracao vagabundo; Caetano Veloso; 366-Coracao vagabundo-Caetano Veloso.pdf
Corcovado; Tom Jobim; 368-Corcovado-Tom Jobim.pdf
De onde vens; Dori Caymmi e Nelson Motta; 370-De onde vens-Dori Caymmi e Nelson Motta.pdf
Dia de vitoria; Marcos Valle e Paulo Sergio Valle; 372-Dia de vitoria-Marcos Valle e Paulo Sergio Valle.pdf
Embarcacao; Francis Hime e Chico Buarque; 374-Embarcacao-Francis Hime e Chico Buarque.pdf
Essa passou; Carlos Lyra e Chico Buarque; 378-Essa passou-Carlos Lyra e Chico Buarque.pdf
Estamos ai; Mauricio Einhorn, Durval Ferreira e Regina Werneck; 380-Estamos ai-Mauricio Einhorn, Durval Ferreira e Regina Werneck.pdf
Estrada branca; ‘Tom Jobim FVinicius de Moraes; 382-Estrada branca-‘Tom Jobim FVinicius de Moraes.pdf
Eu preciso de vocé; Tom Jobim e Aloysio de Oliveira; 384-Eu preciso de vocé-Tom Jobim e Aloysio de Oliveira.pdf
Eute amo; ‘Tom Jobim e Chico Buarque; 385-Eute amo-‘Tom Jobim e Chico Buarque.pdf
Febril; Gilberto Gil; 388-Febril-Gilberto Gil.pdf
Gaiolas abertas; Joao Donato e Martinho Da Vila; 390-Gaiolas abertas-Joao Donato e Martinho Da Vila.pdf
Luiza; Francis Himb e Chico Buarque; 392-Luiza-Francis Himb e Chico Buarque.pdf
Lamento no morro; Tom Jobim e Vinicius de Moraes; 394-Lamento no morro-Tom Jobim e Vinicius de Moraes.pdf
Moga flor; Durval Ferreira e Lula Freire; 395-Moga flor-Durval Ferreira e Lula Freire.pdf
Mascara; Francis; 396-Mascara-Francis.pdf
Minha desventura; Carlos Lyra e Vinicius de Moraes; 398-Minha desventura-Carlos Lyra e Vinicius de Moraes.pdf
No cordao da saideira; Edu Lobo; 400-No cordao da saideira-Edu Lobo.pdf
Mundo velho; C Sergio Ricardo; 403-Mundo velho-C Sergio Ricardo.pdf
Nada como ter amor; Carlos Lyra e Vinicius de Moraes; 404-Nada como ter amor-Carlos Lyra e Vinicius de Moraes.pdf
Nana; Moacyr Santos e Mario Telles; 406-Nana-Moacyr Santos e Mario Telles.pdf
O cantador; Dori Caymmi e Nelson Motta; 408-O cantador-Dori Caymmi e Nelson Motta.pdf
O grande amor; Tom Jobim e Vinicius de Moraes; 410-O grande amor-Tom Jobim e Vinicius de Moraes.pdf
O terceiro amor; Francis Hime e Cacaso; 412-O terceiro amor-Francis Hime e Cacaso.pdf
Pois é; Tom Jobim e Chico Buarque; 414-Pois é-Tom Jobim e Chico Buarque.pdf
Por toda minha vida; Tom Jobim e Vinicius; 416-Por toda minha vida-Tom Jobim e Vinicius.pdf
Pouco me importa; Francis Hime e Ruy Guerra; 418-Pouco me importa-Francis Hime e Ruy Guerra.pdf
Pra dizer adeus; Edu Lobo e Torquato Neto; 420-Pra dizer adeus-Edu Lobo e Torquato Neto.pdf
Sabia; ‘Tom Jobim e Chico Buarque; 422-Sabia-‘Tom Jobim e Chico Buarque.pdf
Puladinho; Sergio Ricardo; 425-Puladinho-Sergio Ricardo.pdf
Samba de Orfeu; Luiz Bonfa e Antonio Maria; 426-Samba de Orfeu-Luiz Bonfa e Antonio Maria.pdf
Santa Teresa; Francis Hime e OlVia Hime; 428-Santa Teresa-Francis Hime e OlVia Hime.pdf
Se todos fossem iguais a vocé; Tom Jobim e Vinicius de Moraes; 430-Se todos fossem iguais a vocé-Tom Jobim e Vinicius de Moraes.pdf
“Seu” Chopin desculpe; Johnny Alf; 432-“Seu” Chopin desculpe-Johnny Alf.pdf
Simples carinho; Joao Donato e Abel Silva; 434-Simples carinho-Joao Donato e Abel Silva.pdf
Tamanco no samba; Orlann Divo e Elton Menezes; 436-Tamanco no samba-Orlann Divo e Elton Menezes.pdf
Tarde em Itapoa; Toquinho e Vinicius de Moraes; 438-Tarde em Itapoa-Toquinho e Vinicius de Moraes.pdf
Tempo feliz; Baden Powelle Vinicius de Moraes; 440-Tempo feliz-Baden Powelle Vinicius de Moraes.pdf
Tristeza de nés dois; Mauricio Einhorn, Durval Ferreira e Bebeto; 442-Tristeza de nés dois-Mauricio Einhorn, Durval Ferreira e Bebeto.pdf
Verbos do amor; Joao Donato e Abel Silva; 444-Verbos do amor-Joao Donato e Abel Silva.pdf
Viola enluarada; Marcos Valle e Paulo Sergio Valle; 446-Viola enluarada-Marcos Valle e Paulo Sergio Valle.pdf
Bolinha de papel; Geraldo Pereira; 447-Bolinha de papel-Geraldo Pereira.pdf
Amor certinho; Roberto Guimaraes Iy; 448-Amor certinho-Roberto Guimaraes Iy.pdf
Amor em paz; Tom Jobim e Vinicius de Moraes; 450-Amor em paz-Tom Jobim e Vinicius de Moraes.pdf
A mulher de cada porto; Edu Lobo e Chico Buarque; 452-A mulher de cada porto-Edu Lobo e Chico Buarque.pdf
Aos pés da cruz; Ze Goncalves e Marino Pinto; 454-Aos pés da cruz-Ze Goncalves e Marino Pinto.pdf
Aqui, 0; Toninho Horta e Fernando Brant; 456-Aqui, 0-Toninho Horta e Fernando Brant.pdf
Cai atarde; Tom Jobim; 459-Cai atarde-Tom Jobim.pdf
Baiaozinho; Eumir ’Deodato; 460-Baiaozinho-Eumir ’Deodato.pdf
Beatriz;  Edu Lobo e Chico Buarque; 462-Beatriz- Edu Lobo e Chico Buarque.pdf
Bons amigos; Toninho Horta e Ronaldo Bastos; 464-Bons amigos-Toninho Horta e Ronaldo Bastos.pdf
Caminho de pedra; Tom Jobim e Vinicius de Moraes; 466-Caminho de pedra-Tom Jobim e Vinicius de Moraes.pdf
Cancao do olhar amado; Chico Feitosa e Marino Pinto; 468-Cancao do olhar amado-Chico Feitosa e Marino Pinto.pdf
Cansei de ilusoes; Tito Madi; 470-Cansei de ilusoes-Tito Madi.pdf
Chansong; Tom Jobim; 472-Chansong-Tom Jobim.pdf
Chega de saudade;  Tom Jobim e Vinicius de Moraes; 475-Chega de saudade- Tom Jobim e Vinicius de Moraes.pdf
Cheganca; Edu Lobo e Oduvaldo Vianna Filho Gp; 478-Cheganca-Edu Lobo e Oduvaldo Vianna Filho Gp.pdf
Choro bandido; “Edu Lobo e Chico Buarque; 480-Choro bandido-“Edu Lobo e Chico Buarque.pdf
Chove 1a fora; Tito Madi; 482-Chove 1a fora-Tito Madi.pdf
Cidade vazia; Baden Powell e Lula Freire; 484-Cidade vazia-Baden Powell e Lula Freire.pdf
De palavra em palavra; Miltinho, Mauricio Tapajos e Paulo Cesar Pinheiro; 486-De palavra em palavra-Miltinho, Mauricio Tapajos e Paulo Cesar Pinheiro.pdf
Derradeira primavera; Tom Jobim e Vinicius de Moraes; 488-Derradeira primavera-Tom Jobim e Vinicius de Moraes.pdf
Doralice; Dorival Caymmi e Antonio Almeida; 490-Doralice-Dorival Caymmi e Antonio Almeida.pdf
E luxo so; Ary Barroso e Luiz Peixoto ; 492-E luxo so-Ary Barroso e Luiz Peixoto -.pdf
Entrudo; Carlos Lyra e Ruy Guerra; 494-Entrudo-Carlos Lyra e Ruy Guerra.pdf
Espelho das aguas; Tom Jobim; 496-Espelho das aguas-Tom Jobim.pdf
;  Falsa baiana; 500-- Falsa baiana-Geraldo Pereira.pdf
Flora; Gilberto Gil; 502-Flora-Gilberto Gil.pdf
Fotografia; Tom Jobim; 505-Fotografia-Tom Jobim.pdf
Isaura; Herivelto Martins e Roberto Roberti; 506-Isaura-Herivelto Martins e Roberto Roberti.pdf
Janelas abertas; Tom Jobim e Vinicius de Moraes; 508-Janelas abertas-Tom Jobim e Vinicius de Moraes.pdf
Litoral; Toninho Horta e Ronaldo Bastos; 510-Litoral-Toninho Horta e Ronaldo Bastos.pdf
Maria Joana; Sidney Miller; 512-Maria Joana-Sidney Miller.pdf
Memorias de Marta Saré; Edu Lobo e Gianfrancesco Guarnieri; 514-Memorias de Marta Saré-Edu Lobo e Gianfrancesco Guarnieri.pdf
Menina feia; Oscar Castro Neves e Luvercy Fiorini Af; 516-Menina feia-Oscar Castro Neves e Luvercy Fiorini Af.pdf
Menina; moca; 518-Menina-moca-Luiz Antonio.pdf
Menino das laranjas;  Theo de Barros; 520-Menino das laranjas- Theo de Barros.pdf
Meu violao; Sidney Miller; 522-Meu violao-Sidney Miller.pdf
Modinha; Tom Jobim e Vinicius de Moraes; 524-Modinha-Tom Jobim e Vinicius de Moraes.pdf
Morrer de amor; Oscar Castro Neves e Luvercy Fiorini 5; 526-Morrer de amor-Oscar Castro Neves e Luvercy Fiorini 5.pdf
Nada de novo; Paulinho Da Viola; 532-Nada de novo-Paulinho Da Viola.pdf
Nao faz assim; Oscar Castro Neves e Ronaldo Boscoli; 534-Nao faz assim-Oscar Castro Neves e Ronaldo Boscoli.pdf
O amor e a rosa; Pernambuco e Antonio Maria; 536-O amor e a rosa-Pernambuco e Antonio Maria.pdf
O mergulhador; “ Candinho e Lula Freire; 538-O mergulhador-“ Candinho e Lula Freire.pdf
Onde esta vocé; Oscar Castro Neves e Luvercy Fiorini; 542-Onde esta vocé-Oscar Castro Neves e Luvercy Fiorini.pdf
O que eu gosto de voce; Silvio Cesar; 546-O que eu gosto de voce-Silvio Cesar.pdf
Ponteio; Edu Lobo e Capinam; 548-Ponteio-Edu Lobo e Capinam.pdf
Pra machucar meu coracao; Ary Barroso; 550-Pra machucar meu coracao-Ary Barroso.pdf
Pra voce; Silvio Cesar; 552-Pra voce-Silvio Cesar.pdf
_Nao diga nao; Tito Madi e Georges Henry; 554-_Nao diga nao-Tito Madi e Georges Henry.pdf
Praia branca; Tom Jobim e Vinicius de Moraes; 555-Praia branca-Tom Jobim e Vinicius de Moraes.pdf
Recado a solidao; Chico Feitosa; 556-Recado a solidao-Chico Feitosa.pdf
Rosa morena; Dorival Caymmi; 558-Rosa morena-Dorival Caymmi.pdf
MISSING_TITLE_113; Claudio Cartier, Paulo Cesar Feital e Carlao; 560-MISSING_TITLE_113-Claudio Cartier, Paulo Cesar Feital e Carlao.pdf
Samba de Orly; Toquinho, Chico Buarquee Vinicius de Moraes Aye; 562-Samba de Orly-Toquinho, Chico Buarquee Vinicius de Moraes Aye.pdf
Samba do aviao ; Tom Jobim; 564-Samba do aviao -Tom Jobim.pdf
Tema de amor por Gabriela; Tom Jobim; 566-Tema de amor por Gabriela-Tom Jobim.pdf
Tempo de solidao; Ian Guest e Vinicius de Moraes; 568-Tempo de solidao-Ian Guest e Vinicius de Moraes.pdf
Tintim por tintim; Haroldo Barbosa e Geraldo Jacques; 570-Tintim por tintim-Haroldo Barbosa e Geraldo Jacques.pdf
Tudo se transformou; Paulinho Da Viola; 572-Tudo se transformou-Paulinho Da Viola.pdf
Viagem; Joao de Aquino e Paulo Cesar Pinheiro; 574-Viagem-Joao de Aquino e Paulo Cesar Pinheiro.pdf
